===== BUILDER EXACT ERRORS 1-250 =====
lib/adaptive-program-builder.ts(62,15): error TS2459: Module '"./constraint-engine"' declares 'ConstraintResult' locally, but it is not exported.
lib/adaptive-program-builder.ts(1764,3): error TS2300: Duplicate identifier 'weekAdaptationDecision'.
lib/adaptive-program-builder.ts(17613,9): error TS2339: Property 'movementEmphasis' does not exist on type 'AdaptiveSession'.
lib/adaptive-program-builder.ts(17622,66): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(17738,90): error TS2345: Argument of type 'string' is not assignable to parameter of type 'PrimaryGoal'.
lib/adaptive-program-builder.ts(17739,86): error TS2345: Argument of type 'string' is not assignable to parameter of type 'PrimaryGoal'.
lib/adaptive-program-builder.ts(17789,46): error TS2345: Argument of type 'string' is not assignable to parameter of type 'PrimaryGoal'.
lib/adaptive-program-builder.ts(17967,18): error TS2339: Property 'labelShown' does not exist on type '{ dayNumber: number; labelMatchesSession: boolean; }'.
lib/adaptive-program-builder.ts(17968,27): error TS2339: Property 'actualDominant' does not exist on type '{ dayNumber: number; labelMatchesSession: boolean; }'.
lib/adaptive-program-builder.ts(17969,19): error TS2339: Property 'mismatchReason' does not exist on type '{ dayNumber: number; labelMatchesSession: boolean; }'.
lib/adaptive-program-builder.ts(18004,48): error TS2345: Argument of type 'string' is not assignable to parameter of type 'PrimaryGoal'.
lib/adaptive-program-builder.ts(18022,62): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18084,17): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18085,35): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18086,28): error TS2339: Property 'movementPattern' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18087,25): error TS2339: Property 'targetSkills' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18088,39): error TS2339: Property 'trainingMethod' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18093,30): error TS2339: Property 'selectionContext' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18102,9): error TS2353: Object literal may only specify known properties, and 'recoveryLevel' does not exist in type '{ exercises: SessionExerciseForIdentity[]; templateFocus?: string | undefined; templateLabel?: string | undefined; primaryGoal: string; secondaryGoal?: string | ... 1 more ... | undefined; recoveryState?: "normal" | ... 3 more ... | undefined; isDeloadSession?: boolean | undefined; dayNumber: number; }'.
lib/adaptive-program-builder.ts(18102,41): error TS2339: Property 'recoveryLevel' does not exist on type 'BuilderCanonicalProfile'.
lib/adaptive-program-builder.ts(18103,34): error TS2339: Property 'isDeload' does not exist on type 'AdaptiveSession'.
lib/adaptive-program-builder.ts(18121,61): error TS2339: Property 'broaderSkillsExpressed' does not exist on type 'ResolvedSessionIdentity'.
lib/adaptive-program-builder.ts(18122,61): error TS2339: Property 'supportSkillsExpressed' does not exist on type 'ResolvedSessionIdentity'.
lib/adaptive-program-builder.ts(18123,67): error TS2339: Property 'multiSkillArchitectureActive' does not exist on type 'ResolvedSessionIdentity'.
lib/adaptive-program-builder.ts(18124,53): error TS2339: Property 'skillBreakdown' does not exist on type 'ResolvedSessionIdentity'.
lib/adaptive-program-builder.ts(18148,41): error TS2339: Property 'recoveryLevel' does not exist on type 'BuilderCanonicalProfile'.
lib/adaptive-program-builder.ts(18152,9): error TS2322: Type 'string | number' is not assignable to type 'number'.
lib/adaptive-program-builder.ts(18170,76): error TS2339: Property 'multiSkillArchitectureActive' does not exist on type 'ResolvedSessionIdentity'.
lib/adaptive-program-builder.ts(18171,81): error TS2339: Property 'supportSkillsExpressed' does not exist on type 'ResolvedSessionIdentity'.
lib/adaptive-program-builder.ts(18171,109): error TS2339: Property 'supportSkillsExpressed' does not exist on type 'ResolvedSessionIdentity'.
lib/adaptive-program-builder.ts(18172,74): error TS2339: Property 'broaderSkillsExpressed' does not exist on type 'ResolvedSessionIdentity'.
lib/adaptive-program-builder.ts(18172,102): error TS2339: Property 'broaderSkillsExpressed' does not exist on type 'ResolvedSessionIdentity'.
lib/adaptive-program-builder.ts(18173,88): error TS2339: Property 'broaderSkillsExpressed' does not exist on type 'ResolvedSessionIdentity'.
lib/adaptive-program-builder.ts(18174,80): error TS2339: Property 'broaderSkillsExpressed' does not exist on type 'ResolvedSessionIdentity'.
lib/adaptive-program-builder.ts(18202,22): error TS2365: Operator '>=' cannot be applied to types 'string | number' and 'number'.
lib/adaptive-program-builder.ts(18236,22): error TS2365: Operator '>=' cannot be applied to types 'string | number' and 'number'.
lib/adaptive-program-builder.ts(18249,9): error TS2322: Type 'string | number' is not assignable to type 'number'.
lib/adaptive-program-builder.ts(18251,41): error TS2339: Property 'recoveryLevel' does not exist on type 'BuilderCanonicalProfile'.
lib/adaptive-program-builder.ts(18316,17): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18317,35): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18318,25): error TS2339: Property 'targetSkills' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18387,9): error TS2367: This comparison appears to be unintentional because the types 'TrainingMethod | undefined' and '"circuit"' have no overlap.
lib/adaptive-program-builder.ts(18388,12): error TS2551: Property 'notes' does not exist on type 'AdaptiveExercise'. Did you mean 'note'?
lib/adaptive-program-builder.ts(18389,12): error TS2551: Property 'notes' does not exist on type 'AdaptiveExercise'. Did you mean 'note'?
lib/adaptive-program-builder.ts(18433,26): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18439,26): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18445,26): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18568,29): error TS2552: Cannot find name 'finalScheduleMode'. Did you mean 'inputScheduleMode'?
lib/adaptive-program-builder.ts(18593,24): error TS2339: Property 'exercise' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18594,26): error TS2339: Property 'targetSkills' does not exist on type 'AdaptiveExercise'.
lib/adaptive-program-builder.ts(18597,47): error TS7006: Parameter 't' implicitly has an 'any' type.
